BARRAGES,ANNEE DE MISE EN SERVICE,HAUTEUR SUR FONDATION (m),CAPACITE DE LA RETENUE (Mm3),FONCTION
SIDI SAID MACHOU,1929,29,2.00,E/A.E.P.I.
KASBA TADLA,1931,12,0.10,E/ I.
LALLA TAKERKOUST (Surélevé en 1980),1935,71,69.00,E/ I
EL KANSERA (Surélevé en 1969),1935,68,266.00,E/ I/ A.E.P.I.
ALI THELAT,1935,36,30.00,E/ I.
IMFOUT,1944,50,27.00,E/I/A.E.P.I.
DAOURAT,1950,40,9.50,E.
ZEMRANE,1950,20,0.60,I
BINE EL OUIDANE,1953,133,1 384.00,E/ I
AIT OUARDA,1953,43,4.00,E/ I/ BC
MECHRA HOMADI,1955,57,8.40,E/ I/ A.E.P.I.
TAGHDOUT,1956,26,3.00,I
NAKHLA,1961,46,5.70,A.E.P.I.
SAFI,1965,18,2.00,A.E.P.I.
MOHAMED V,1967,64,410.00,E/ I/ A.E.P.I.
MOULAY YOUSSEF,1969,100,175.00,E/ I
AJRAS,1969,18,3.00,I
HHASSAN ADDAKHIL,1971,85,347.00,I/ PI
YOUSSEF BEN TACHFINE,1972,85,303.50,I/ A.E.P.I.
MANSOUR EDDAHBI,1972,70,529.00,E/ I
IDRISS 1er,1973,72,1 186.00,E/ I
SIDI Med BEN ABDALLAH (Surélevé en 2007),1974,105,1 025.00,A.E.P.I./ PI
IBN BATOUTA,1977,30,38.50,I/ A.E.P.I.
AL MASSIRA,1979,82,2 760.00,E/ I/ A.E.P.I.
OUED EL MAKHAZINE,1979,67,773.00,E/ I /A.E.P.I.
ABDELMOUMEN,1981,94,216.00,E/ I/ A.E.P.I.
TIMI N’OUTINE,1981,45,5.50,BC
MOHAMED B. A. EL KHATTABI,1981,40,33.60,I/ AEPI
GARDE DU LOUKKOS,1981,9,4.00,I
SIDI DRISS,1984,42,7.00,BC
MSAKHSKHA,1985,20,2.66,AC
ARID,1985,20,0.70,A.E.P.
AIT LAMBRABTIYA,1985,19,0.20,I/ AC
N’Zalet Azri,1985,18.5,0/50,I/ AC/ AN
IMI LARBAA,1985,16,0.78,I
SFA,1985,16,0.60,EC
KWACEM AVAL,1985,12,3.00,I/ AC
SIDI ALI,1985,10,1.00,AC
HASSAN PREMIER,1986,145,262.50,I/ E/ A.E.P.I.
AKKA N’OUSSIKIS,1986,42,1.00,I/ AC
DKHILA,1986,32,0.70,BC
TLET BOUBKER,1986,30,2.75,I
AGAFAY,1986,28,0.50,I/ AC
AKKROUZ,1986,24,0.65,I/ AC/ AN
ASSIF TAGUENZA,1986,24,0.35,I
BOUKERDANE,1986,22,0.50,I/ AC
SI EL MIARI,1986,21,1.10,I
ACHBAROU,1986,20,1.00,I/ AC/ AN
BOUTAARICHT,1986,18,0.70,I/ AC
TIZGUIT AVAL,1986,18,0.12,EC
BENI SMIR,1986,16,1.00,AEP
KHENG EL H’DA,1986,15,3.80,AC
HAMMOU OURZAG,1986,14,1.60,AC
AÏN KOREIMA,1987,26,1.30,I
ROUIDAT AMONT,1987,24,3.00,I
IMIN LHAD,1987,23,0.40,I/ AC
AIN TOURTOUTE,1987,21,0.85,I/ AC
BATMAT RMA,1987,20,0.80,I/ AC
MOUILLAH,1987,16,0.50,I
AMAN SEYERNINE,1987,16,0.35,I/ EC
AZIB DOUIRANI,1987,15,0.60,EC/ AEP
ITZAR,1989,30,0.70,I
BOUKHALEF 1,1989,20,1.10,I
TOUILTEST,1989,17,1.00,I/ AC
ALLAL AL FASSI,1990,61,81.50,E/ I/ AEPI
OUED ARICHA,1990,30,1.80,I
RAS BEL FIRANE,1990,17,0.30,I/ AC/ AEP
AOULOUZ,1991,79,110.00,AN/ I
SMIR,1991,45,43.00,AEPI
BLAD EL GAÂDA,1991,30,2.90,PI
GARDE DU SEBOU,1991,18,40.00,I
SGHIR,1991,15,2.30,I
SABOUN,1991,15,1.10,I
TIZGUIT AMONT,1991,15,0.30,PI
JOUMOUA,1992,57,6.50,AEPI
ESSAF,1992,29,1.00,I/ AEP/ AC/ PE
JORF EL GHORAB,1992,29,0.90,AEP/ AC/ PE
AGHERGHIS,1992,24,0.30,PI
IMAOUENE,1992,23,0.25,EC
DOUISS ERRACHIDIA,1992,21,0.95,I/ AC
MAHRAZ,1992,17,0.60,PI/ PI
IMIN EL KHANG,1993,39,12.00,I/ AN
SAHLA,1994,55,62.00,I/ AEPI/ PE
AGGAY,1994,40,1.25,PI
9 AVRIL 1947,1995,52,300.00,AEPI
ENJIL,1995,36,12.00,I/ AEP
ARABET,1995,17,1.70,AEP
SAQUIA EL HAMRA,1995,16,110.00,PI/ RN
AL WAHDA,1996,88,3 800.00,E/ I/ PE/ T
SIDI CHAHED,1996,51,170.00,AEPI/ I
GHARBIA,1997,22,0.75,I/ AEP
BENI YAKHLEF,1997,19,0.03,PI
Barrage sur Oued Za,1998,83,275.00,I/ AEPI/ PE
BOUHOUDA,1998,55,55.00,I/ AEP/ PE
MENZEL,1998,18,0.16,PI
ASFALOU,1999,112,317.00,E/ I
BAB LOUTA,1999,54,37.00,AEP
AHMED EL HANSALI,2001,101,740.00,E/ AEPI/ I
BOUKNADIL,2001,18.7,1.00,I/ AC
MOULAY ABDELLAH,2002,65,110.00,AEP
MOUKHTAR SOUSSI,2002,60,50.00,I/ AN
AIT MESSAOUD,2002,34,13.20,BC/ E/ AEPI
BOUBAGRA,2002,21,1.80,I
HAD LAGHOUALEM,2002,19,0.90,I/ AC
BOUHOUTA,2002,19,0.90,I/ AC
OULAD ABBAS,2002,15.5,0.90,I/ AC
DRAA LAGRAGRA,2003,24,4.30,I/ AEP
OUED NAMOUS,2003,17.6,1.50,AC
ROKNET ENNAM,2003,17.5,2.50,AC
SEHB EL KHEYAT,2003,16.5,0.56,AC
BAAJ,2003,16.5,0.45,AEP
AHL SOUSS,2004,49,4.70,AEP/ I
DOUISS FIGUIG,2004,23,2.35,I/ AC
TAMESNA,2005,66,56.00,PI/ AEP/ I
SIDI M’HAMED BEN SLIMANE EL JAZOULI,2005,60,17.00,AEP/I
MY HASSAN BEL MEHDI,2005,49,31.00,AEPI/ I
KHENG MESSAOUD,2005,24,1.30,PI/ AC/ AN
REG AOUIN KORA,2005,16,1.20,PI/ AC/ AN
HASSAR,2005,15,2.13,EC
HASSAN II,2006,115,400.00,I/ AEP/ PI
TOUIZGUI REMZ,2007,18,78.00,AC/ I/ AN/ EC
TANGER MED,2008,80,25.00,AEPI/ PI
YAACOUB EL MANSOUR,2008,70,70.00,AEP
AL HIMER,2008,44,14.00,PI/ AN
TATIOUIN,2008,18,0.20,I/ E
SIDI YAHYA,2009,30,11.00,PI/ I
EL HANDAK,2009,27,0.10,PI
CHBIKA,2009,24,1.50,I
TAKHZRIT,2009,22,1.20,I
SIDI EL MAHJOUB,2009,22,1.00,AC/ I/ PI
MAZER,2011,47.5,13.00,PI/ AN/ I
SFEISSIF,2011,29,20.00,PI/ I
ABOU ABBASS ESSABTI,2012,75,25.00,I/ AEP/PI
KOUDIAT EL GARN,2012,54.5,33.00,PI
EL MALLEH Amont,2012,49,35.00,PI
TIOUINE,2013,84,270.00,AEP/ I/ PI
ZERRAR,2014,84,123,AEPI. I/ PI
TAMALOUT,2014,61,50,I. AEP/ PI
MY BOUCHETA,2014,57.5,11.6,I/ AEP/ PI